date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:14	32/32	---M--	200	added ('OK')	text/plain	etag:%2261e1eb38-20%22	https://quizizz.quizit.online/robots.txt		(from )
14:21:15	188287/188287	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jan%202022%2021:29:31%20GMT	https://quizizz.quizit.online/	D:/web/quizzi/quizizz.quizit.online/index.html	(from )
14:21:15	216986/216986	---M--	200	added ('OK')	image/png	etag:%2261e1eb38-34f9a%22	https://quizizz.quizit.online/icon.png	D:/web/quizzi/quizizz.quizit.online/icon.png	(from https://quizizz.quizit.online/)
14:21:15	6209/6209	---M--	200	added ('OK')	image/png	etag:%2261e1eb39-1841%22	https://quizizz.quizit.online/_nuxt/icons/icon_64x64.d26407.png	D:/web/quizzi/quizizz.quizit.online/_nuxt/icons/icon_64x64.d26407.png	(from https://quizizz.quizit.online/)
14:21:15	163365/163365	---M--	200	added ('OK')	image/png	etag:%2261e1eb39-27e25%22	https://quizizz.quizit.online/_nuxt/icons/icon_512x512.d26407.png	D:/web/quizzi/quizizz.quizit.online/_nuxt/icons/icon_512x512.d26407.png	(from https://quizizz.quizit.online/)
14:21:17	1276/1276	---MCZ	200	added ('OK')	application/json	etag:W/%2261e1eb38-4fc%22	https://quizizz.quizit.online/_nuxt/manifest.32d6ea91.json	D:/web/quizzi/quizizz.quizit.online/_nuxt/manifest.32d6ea91.json	(from https://quizizz.quizit.online/)
14:21:18	2667/2667	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e1eb39-a6b%22	https://quizizz.quizit.online/_nuxt/9051278.js	D:/web/quizzi/quizizz.quizit.online/_nuxt/9051278.js	(from https://quizizz.quizit.online/)
14:21:18	149094/149094	---MC-	200	added ('OK')	text/javascript	date:Sat,%2022%20Jan%202022%2007:21:17%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6453534437692517	D:/web/quizzi/pagead2.googlesyndication.com/pagead/js/f8e0c.txt	(from https://quizizz.quizit.online/)
14:21:18	239073/239073	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e1eb39-3a5e5%22	https://quizizz.quizit.online/_nuxt/603b233.js	D:/web/quizzi/quizizz.quizit.online/_nuxt/603b233.js	(from https://quizizz.quizit.online/)
14:21:18	511548/511548	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e1eb39-7ce3f%22	https://quizizz.quizit.online/_nuxt/35ef5d4.js	D:/web/quizzi/quizizz.quizit.online/_nuxt/35ef5d4.js	(from https://quizizz.quizit.online/)
